date,english language 5,english language6,mathemathics 5,mathemathics 6,history 5
2007-01-01,0,0,0,0,0
2007-02-01,0,0,0,0,0
2007-03-01,0,0,0,0,0
2007-04-01,0,0,0,0,0
2007-05-01,0,0,0,0,0
2007-06-01,0,0,0,0,0
2007-07-01,0,0,0,0,0
2007-08-01,0,0,0,0,0
2007-09-01,0,0,0,0,0
2007-10-01,0,0,0,0,0
2007-11-01,0,0,2,0,0
2007-12-01,0,0,0,0,0
2008-01-01,0,0,0,0,0
2008-02-01,3,0,0,0,19
2008-03-01,0,0,0,0,0
2008-04-01,3,0,4,0,0
2008-05-01,0,0,2,0,0
2008-06-01,0,0,0,0,0
2008-07-01,0,0,0,0,0
2008-08-01,0,0,0,0,0
2008-09-01,3,0,0,0,0
2008-10-01,0,0,0,35,0
2008-11-01,2,0,0,0,0
2008-12-01,2,0,0,0,0
2009-01-01,0,0,1,0,0
2009-02-01,2,0,0,0,0
2009-03-01,4,0,0,0,0
2009-04-01,2,0,1,0,0
2009-05-01,2,0,0,0,0
2009-06-01,0,0,0,0,0
2009-07-01,0,0,0,0,0
2009-08-01,0,0,0,0,0
2009-09-01,0,0,0,0,0
2009-10-01,2,6,2,0,11
2009-11-01,2,0,1,0,0
2009-12-01,4,0,1,0,0
2010-01-01,0,0,2,0,0
2010-02-01,7,0,4,0,0
2010-03-01,2,0,1,0,0
2010-04-01,2,0,2,0,0
2010-05-01,0,0,0,0,0
2010-06-01,0,0,0,0,0
2010-07-01,0,0,0,0,0
2010-08-01,0,0,0,0,0
2010-09-01,3,0,0,0,0
2010-10-01,6,0,2,0,0
2010-11-01,3,4,2,0,0
2010-12-01,1,8,4,0,8
2011-01-01,1,2,4,0,0
2011-02-01,3,5,4,9,3
2011-03-01,5,4,2,0,3
2011-04-01,9,0,3,0,0
2011-05-01,5,2,2,0,6
2011-06-01,1,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,3,1,3,0,3
2011-10-01,3,2,4,6,0
2011-11-01,3,1,4,6,2
2011-12-01,2,2,4,11,2
2012-01-01,3,3,5,0,2
2012-02-01,11,3,7,5,4
