Region,Algebra 10,Algebra 11,History 9,History 10,History 11,Language 8,Language 9,Language 10,Language 11,id
Altay,61,7,0,0,0,0,0,63,23,3
Amur,46,0,0,0,0,0,0,0,0,4
Arkhangel'sk,51,100,0,0,0,0,0,0,0,5
Astrakhan',0,0,0,0,0,0,0,0,0,6
Belgorod,65,0,0,0,0,0,0,0,0,8
Bryansk,44,0,0,0,0,0,0,0,0,9
Vladimir,24,33,0,0,0,0,0,0,0,83
Volgograd,41,56,0,0,0,0,0,0,0,84
Vologda,46,18,0,0,0,0,0,0,0,85
Voronezh,35,48,0,0,0,0,0,0,0,86
Yevrey,0,0,0,0,0,0,0,0,0,89
Zabaikalskiy Krai,99,0,0,0,0,0,0,0,0,13
Ivanovo,0,0,0,0,0,0,0,0,0,22
Irkutsk,35,45,0,76,0,0,82,73,92,21
Kabardin-Balkar,0,0,0,0,0,0,0,0,0,23
Kaliningrad,15,31,0,0,0,0,0,0,0,24
Kaluga,64,19,0,0,0,0,0,0,0,26
Kamchatka,0,0,0,0,0,0,0,0,0,27
Karachay-Cherkess,0,0,0,0,0,0,0,0,0,28
Kemerovo,36,15,0,0,0,0,0,0,0,30
Kirov,63,86,0,0,0,0,0,0,0,34
Kostroma,0,0,0,0,0,0,0,0,0,38
Krasnodar,26,26,0,57,100,0,61,41,35,39
Krasnoyarsk,31,37,0,0,0,0,0,0,17,40
Kurgan,0,0,0,0,0,0,0,0,0,41
Kursk,0,0,0,0,0,0,0,0,0,42
Leningrad,20,32,0,0,0,0,0,0,0,43
Lipetsk,0,0,0,0,0,0,0,0,0,44
Maga Buryatdan,0,0,0,0,0,0,0,0,0,45
Moskva,20,31,0,18,32,100,68,74,33,49
Murmansk,0,0,0,0,0,0,0,0,0,50
Nenets,0,0,0,0,0,0,0,0,0,51
Nizhegorod,49,36,0,0,0,0,0,92,100,52
Novgorod,67,37,0,0,0,0,0,0,0,54
Novosibirsk,27,37,0,100,0,0,0,48,39,55
Omsk,48,9,0,0,0,0,0,0,0,56
Orenburg,34,23,0,0,0,0,0,0,0,58
Orel,0,0,0,0,0,0,0,0,0,57
Penza,45,61,0,0,0,0,0,0,0,59
Perm',35,24,0,0,0,0,0,0,0,60
Primor'ye,34,36,0,0,0,0,0,59,49,61
Pskov,62,0,0,0,0,0,0,0,0,62
Adygey,0,0,0,0,0,0,0,0,0,1
Gorno-Altay,0,0,0,0,0,0,0,0,0,19
Bashkortostan,55,50,0,0,0,0,90,13,58,7
Buryat,100,91,0,0,0,0,0,0,0,10
Dagestan,26,0,0,0,0,0,0,0,0,17
Ingush,0,0,0,0,0,0,0,0,0,20
Kalmyk,0,0,0,0,0,0,0,0,0,25
Karelia,31,84,0,0,0,0,0,0,0,29
Komi,18,0,0,0,0,0,0,0,0,36
Mariy-El,0,0,0,0,0,0,0,0,0,46
Mordovia,0,0,0,0,0,0,0,0,0,47
Sakha,53,93,0,0,0,0,0,0,0,65
North Ossetia,11,0,0,0,0,0,0,0,0,53
Tatarstan,47,43,0,0,0,0,0,40,9,73
Tuva,0,0,0,0,0,0,0,0,0,77
Khakass,0,0,0,0,0,0,0,0,0,32
Rostov,24,50,0,0,0,0,0,43,47,63
Ryazan',7,0,0,0,0,0,0,0,0,64
Samara,36,57,0,50,0,0,0,71,13,67
Saratov,15,33,0,0,0,0,0,0,0,68
Sakhalin,0,0,0,0,0,0,0,0,0,66
Sverdlovsk,22,39,0,0,0,0,51,53,33,71
Smolensk,0,0,0,0,0,0,0,0,0,69
Stavropol',52,13,0,0,0,0,0,20,0,70
Tambov,0,0,0,0,0,0,0,0,0,72
Tver',63,31,0,0,0,0,0,0,100,78
Tomsk,13,37,0,0,0,0,0,0,0,75
Tula,42,68,0,0,0,0,0,0,0,76
Tyumen',25,10,0,0,0,0,0,0,31,79
Ul'yanovsk,45,71,0,0,0,0,0,0,0,81
Khabarovsk,29,23,0,0,0,0,0,0,0,31
Khanty-Mansiy,27,28,0,0,0,0,0,27,59,33
Chelyabinsk,43,46,0,0,0,0,100,100,48,12
Chechnya,0,0,0,0,0,0,0,0,0,11
Chuvash,39,71,0,0,0,0,0,0,0,15
Chukot,0,0,0,0,0,0,0,0,0,14
Yamal-Nenets,0,0,0,0,0,0,0,0,0,87
Yaroslavl',44,48,0,0,0,0,0,0,0,88
Moscow City,15,21,0,36,0,0,34,35,24,48
City of St. Petersburg,17,24,0,0,0,0,59,44,14,16
Udmurt,40,24,0,0,0,0,0,0,0,80
